Package,Java API,Question,SISE,CROKAGE,DocChameleon
io,InputStream,Convert InputStream to byte array in Java,"Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>
Apache Commons</a> <code><a href= https://commons.apache.org/proper/commons-io/javadocs/api-release/org/apache/commons/io/IOUtils.html  rel= noreferrer >IOUtils</a></code> to copy the <code>InputStream</code> into a <code>StringWriter</code>...
<p>Here s a way using only the standard Java library (note that the stream is not closed  your mileage may vary).</p>
http://download.oracle.com/javase/8/docs/api/java/util/Scanner.html  rel= noreferrer >Scanner</a> iterates over tokens in the stream  and in this case we separate tokens using  beginning of the input boundary  (\A)  thus giving us only one token for the entire contents of the stream.</p>
if we are not accessing it in multiple threads  and <code>StringBuilder</code> is faster).
The trick here is that we work in blocks  and as such don t need other buffering streams.
The block size is parameterized for run-time performance optimization.</p>
isn t necessary  but it is generally a good idea to specify the encoding if you know it (which you should!)</p>
<p>If all you want to do is read the same information more than once  and the input data is small enough to fit into memory  you can copy the data from your <code>InputStream</code> to a <a href= http://docs.oracle.com/javase/7/docs/api/java/io/ByteArrayOutputStream.html  rel= noreferrer >ByteArrayOutputStream</a>.</p> <p>
But if you really need to keep the original stream open to receive new data  then you will need to track the external call to <code>close()</code>.
<p>You can t clone it  and how you are going to solve your problem depends on what the source of the data is.
<p>One solution is to read all data from the InputStream into a byte array  and then create a ByteArrayInputStream around that byte array  and pass that input stream into your method.</p>
<p>Edit 1: That is  if the other method also needs to read the same data.
<p>If the data read from the stream is large  I would recommend using a TeeInputStream from Apache Commons IO.
FilterInputStream</a> class and do the required processing of the bytes as the external lib reads the data.
It should be noted that this works byte for byte  so don t use this if high performance is a requirement.</strong></p>
Fetches entire contents of an InputStream and represent same data as result InputStream.
<p>Cloning an input stream might not be a good idea  because this requires deep knowledge about the details of the input stream being cloned.
A workaround for this is to create a new input stream that reads from the same source again.</p>
And there is no need to maintain a second code path for the cloning of the stream.</p>
<p>On the other hand  if reading from the stream is expensive (because a it s done over a low bandwith connection)  then this method will double the costs.
Just create an instance  call the  multiply  method  and provide the source input stream and the amount of duplicates you need.</p>
Important: you must consume all cloned streams simultaneously in separate threads.</strong></p>","I use this.

public static byte[] toByteArray(InputStream is) throws IOException {
        ByteArrayOutputStream output = new ByteArrayOutputStream();
        try {
            byte[] b = new byte[4096];
            int n = 0;
            while ((n = is.read(b)) != -1) {
                output.write(b, 0, n);
            }
            return output.toByteArray();
        } finally {
            output.close();
        }
    }",
io,InputStream,Java: InputStream too slow to read huge files,"Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>
Apache Commons</a> <code><a href= https://commons.apache.org/proper/commons-io/javadocs/api-release/org/apache/commons/io/IOUtils.html  rel= noreferrer >IOUtils</a></code> to copy the <code>InputStream</code> into a <code>StringWriter</code>...
<p>Here s a way using only the standard Java library (note that the stream is not closed  your mileage may vary).</p>
http://download.oracle.com/javase/8/docs/api/java/util/Scanner.html  rel= noreferrer >Scanner</a> iterates over tokens in the stream  and in this case we separate tokens using  beginning of the input boundary  (\A)  thus giving us only one token for the entire contents of the stream.</p>
if we are not accessing it in multiple threads  and <code>StringBuilder</code> is faster).
The trick here is that we work in blocks  and as such don t need other buffering streams.
The block size is parameterized for run-time performance optimization.</p>
isn t necessary  but it is generally a good idea to specify the encoding if you know it (which you should!)</p>
<p>If all you want to do is read the same information more than once  and the input data is small enough to fit into memory  you can copy the data from your <code>InputStream</code> to a <a href= http://docs.oracle.com/javase/7/docs/api/java/io/ByteArrayOutputStream.html  rel= noreferrer >ByteArrayOutputStream</a>.</p> <p>
But if you really need to keep the original stream open to receive new data  then you will need to track the external call to <code>close()</code>.
<p>You can t clone it  and how you are going to solve your problem depends on what the source of the data is.
<p>One solution is to read all data from the InputStream into a byte array  and then create a ByteArrayInputStream around that byte array  and pass that input stream into your method.</p>
<p>Edit 1: That is  if the other method also needs to read the same data.
<p>If the data read from the stream is large  I would recommend using a TeeInputStream from Apache Commons IO.
FilterInputStream</a> class and do the required processing of the bytes as the external lib reads the data.
It should be noted that this works byte for byte  so don t use this if high performance is a requirement.</strong></p>
Fetches entire contents of an InputStream and represent same data as result InputStream.
<p>Cloning an input stream might not be a good idea  because this requires deep knowledge about the details of the input stream being cloned.
A workaround for this is to create a new input stream that reads from the same source again.</p>
And there is no need to maintain a second code path for the cloning of the stream.</p>
<p>On the other hand  if reading from the stream is expensive (because a it s done over a low bandwith connection)  then this method will double the costs.
Just create an instance  call the  multiply  method  and provide the source input stream and the amount of duplicates you need.</p>
Important: you must consume all cloned streams simultaneously in separate threads.</strong></p>","I would try this

// create the file so we have something to read.
final String fileName = ""1.2.fasta"";
FileOutputStream fos = new FileOutputStream(fileName);
fos.write(new byte[54 * 1024 * 1024]);
fos.close();

// read the file in one hit.
long start = System.nanoTime();
FileChannel fc = new FileInputStream(fileName).getChannel();
ByteBuffer bb = fc.map(FileChannel.MapMode.READ_ONLY, 0, fc.size());
while (bb.remaining() > 0)
    bb.getLong();
long time = System.nanoTime() - start;
System.out.printf(""Took %.3f seconds to read %.1f MB%n"", time / 1e9, fc.size() / 1e6);
fc.close();
((DirectBuffer) bb).cleaner().clean();
prints

Took 0.016 seconds to read 56.6 MB",
io,InputStream,Loading images using an InputStream,"Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>
Apache Commons</a> <code><a href= https://commons.apache.org/proper/commons-io/javadocs/api-release/org/apache/commons/io/IOUtils.html  rel= noreferrer >IOUtils</a></code> to copy the <code>InputStream</code> into a <code>StringWriter</code>...
<p>Here s a way using only the standard Java library (note that the stream is not closed  your mileage may vary).</p>
http://download.oracle.com/javase/8/docs/api/java/util/Scanner.html  rel= noreferrer >Scanner</a> iterates over tokens in the stream  and in this case we separate tokens using  beginning of the input boundary  (\A)  thus giving us only one token for the entire contents of the stream.</p>
if we are not accessing it in multiple threads  and <code>StringBuilder</code> is faster).
The trick here is that we work in blocks  and as such don t need other buffering streams.
The block size is parameterized for run-time performance optimization.</p>
isn t necessary  but it is generally a good idea to specify the encoding if you know it (which you should!)</p>
<p>If all you want to do is read the same information more than once  and the input data is small enough to fit into memory  you can copy the data from your <code>InputStream</code> to a <a href= http://docs.oracle.com/javase/7/docs/api/java/io/ByteArrayOutputStream.html  rel= noreferrer >ByteArrayOutputStream</a>.</p> <p>
But if you really need to keep the original stream open to receive new data  then you will need to track the external call to <code>close()</code>.
<p>You can t clone it  and how you are going to solve your problem depends on what the source of the data is.
<p>One solution is to read all data from the InputStream into a byte array  and then create a ByteArrayInputStream around that byte array  and pass that input stream into your method.</p>
<p>Edit 1: That is  if the other method also needs to read the same data.
<p>If the data read from the stream is large  I would recommend using a TeeInputStream from Apache Commons IO.
FilterInputStream</a> class and do the required processing of the bytes as the external lib reads the data.
It should be noted that this works byte for byte  so don t use this if high performance is a requirement.</strong></p>
Fetches entire contents of an InputStream and represent same data as result InputStream.
<p>Cloning an input stream might not be a good idea  because this requires deep knowledge about the details of the input stream being cloned.
A workaround for this is to create a new input stream that reads from the same source again.</p>
And there is no need to maintain a second code path for the cloning of the stream.</p>
<p>On the other hand  if reading from the stream is expensive (because a it s done over a low bandwith connection)  then this method will double the costs.
Just create an instance  call the  multiply  method  and provide the source input stream and the amount of duplicates you need.</p>
Important: you must consume all cloned streams simultaneously in separate threads.</strong></p>","If you are using PDFBox 2.0.0 or above

PDDocument document = PDDocument.load(new File(""filePath"")); //filePath is the path to your .pdf
PDFRenderer pdfRenderer = new PDFRenderer(document);

for(int i=0; i<document.getPages().getCount(); i++){
    BufferedImage bim = pdfRenderer.renderImage(i, 1.0f, ImageType.RGB); //Get bufferedImage for page ""i"" with scale 1
    ByteArrayOutputStream os = new ByteArrayOutputStream();
    ImageIO.write(bim, ""jpg"", os);
    InputStream is = new ByteArrayInputStream(os.toByteArray());
    //Do whatever you need with the inputstream
}
document.close()",
io,InputStream,How do I read bytes from InputStream?,"Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>
Apache Commons</a> <code><a href= https://commons.apache.org/proper/commons-io/javadocs/api-release/org/apache/commons/io/IOUtils.html  rel= noreferrer >IOUtils</a></code> to copy the <code>InputStream</code> into a <code>StringWriter</code>...
<p>Here s a way using only the standard Java library (note that the stream is not closed  your mileage may vary).</p>
http://download.oracle.com/javase/8/docs/api/java/util/Scanner.html  rel= noreferrer >Scanner</a> iterates over tokens in the stream  and in this case we separate tokens using  beginning of the input boundary  (\A)  thus giving us only one token for the entire contents of the stream.</p>
if we are not accessing it in multiple threads  and <code>StringBuilder</code> is faster).
The trick here is that we work in blocks  and as such don t need other buffering streams.
The block size is parameterized for run-time performance optimization.</p>
isn t necessary  but it is generally a good idea to specify the encoding if you know it (which you should!)</p>
<p>If all you want to do is read the same information more than once  and the input data is small enough to fit into memory  you can copy the data from your <code>InputStream</code> to a <a href= http://docs.oracle.com/javase/7/docs/api/java/io/ByteArrayOutputStream.html  rel= noreferrer >ByteArrayOutputStream</a>.</p> <p>
But if you really need to keep the original stream open to receive new data  then you will need to track the external call to <code>close()</code>.
<p>You can t clone it  and how you are going to solve your problem depends on what the source of the data is.
<p>One solution is to read all data from the InputStream into a byte array  and then create a ByteArrayInputStream around that byte array  and pass that input stream into your method.</p>
<p>Edit 1: That is  if the other method also needs to read the same data.
<p>If the data read from the stream is large  I would recommend using a TeeInputStream from Apache Commons IO.
FilterInputStream</a> class and do the required processing of the bytes as the external lib reads the data.
It should be noted that this works byte for byte  so don t use this if high performance is a requirement.</strong></p>
Fetches entire contents of an InputStream and represent same data as result InputStream.
<p>Cloning an input stream might not be a good idea  because this requires deep knowledge about the details of the input stream being cloned.
A workaround for this is to create a new input stream that reads from the same source again.</p>
And there is no need to maintain a second code path for the cloning of the stream.</p>
<p>On the other hand  if reading from the stream is expensive (because a it s done over a low bandwith connection)  then this method will double the costs.
Just create an instance  call the  multiply  method  and provide the source input stream and the amount of duplicates you need.</p>
Important: you must consume all cloned streams simultaneously in separate threads.</strong></p>","Try this( IOUtils is commons-io)

byte[] bytes = IOUtils.toByteArray(instream);",
io,FileInputStream,FileInputStream read until last 128 bytes of file,"Don t use FileInputStream</strong> as a parameter or variable type.
Use the abstract base class  in this case InputStream instead.</p>
<p>But it will work only within your IDE  not in runnable JAR.
<p>Don t make the mistake of relying upon or needlessly converting/losing endline characters.
Don t forget to use the proper character encoding to interpres the stream.</p>
<p>If you want to make this a little more efficient  you can use arrays of characters instead  but to be honest  looping over the characters can be still quite fast.</p>","This should work.

InputStream is = Context.openFileInput(someFileName);
ByteArrayOutputStream bos = new ByteArrayOutputStream();
byte[] b = new byte[1024];
while ((int bytesRead = is.read(b)) != -1) {
   bos.write(b, 0, bytesRead);
}
byte[] bytes = bos.toByteArray();",
lang,Object,Converting json from a file to a java Object,"<p>Classes that has a natural sort order (a class Number  as an example) should implement the Comparable interface  whilst classes that has no natural sort order (a class Chair  as an example) should be provided with a Comparator (or an anonymous Comparator class).</p>
<p>Both of these interfaces allow for different behavior.
Comparable allows you to make the object act like you just described Strings (in fact  String implements Comparable).
The second  Comparator  allows you to do what you are asking to do.
If the objects in the ArrayList implement comparable  you can instead do something like this:</p>
<p>The <a href= http://java.sun.com/javase/6/docs/api/java/util/Collections.html  rel= noreferrer >Collections</a> class contains a number of these useful  common tools.</p>
<p>With Java 8 you can use a method reference for your comparator:</p>
<p>Since technologies appear everyday  the answer will change in the time.
<p>Of course  having this kind of beauty impacts in the performance (an average of 2 times)  but can you find a more readable code?</p>
Fortunately  the actual code is much simpler and shorter than this description.</p>
<p>If you want to sort for alphabet that contains non English characters you can use Locale...","This simple example works like a charm:
DTOs

public class SampleDTO 
{
   private String name;
   private InnerDTO inner;
   // getters/setters
}

public class InnerDTO 
{
   private int number;
   private String str; 
   // getters/setters  
}  
Gson

  BufferedReader br = new BufferedReader(new FileReader(""/tmp/test.json""));
  SampleDTO sample = new Gson().fromJson(br, SampleDTO.class);  
Jackson

  InputStream inJson = SampleDTO.class.getResourceAsStream(""/test.json"");
  SampleDTO sample = new ObjectMapper().readValue(inJson, SampleDTO.class);
JSON (test.json)

{
   ""name"" : ""Mike"",
   ""inner"": {
      ""number"" : 5,
      ""str"" : ""Simple!""
   }
}",
lang,Object,Java/JAXB: Unmarshall XML attributes to specific Java Object attributes,"<p>Classes that has a natural sort order (a class Number  as an example) should implement the Comparable interface  whilst classes that has no natural sort order (a class Chair  as an example) should be provided with a Comparator (or an anonymous Comparator class).</p>
<p>Both of these interfaces allow for different behavior.
Comparable allows you to make the object act like you just described Strings (in fact  String implements Comparable).
The second  Comparator  allows you to do what you are asking to do.
If the objects in the ArrayList implement comparable  you can instead do something like this:</p>
<p>The <a href= http://java.sun.com/javase/6/docs/api/java/util/Collections.html  rel= noreferrer >Collections</a> class contains a number of these useful  common tools.</p>
<p>With Java 8 you can use a method reference for your comparator:</p>
<p>Since technologies appear everyday  the answer will change in the time.
<p>Of course  having this kind of beauty impacts in the performance (an average of 2 times)  but can you find a more readable code?</p>
Fortunately  the actual code is much simpler and shorter than this description.</p>
<p>If you want to sort for alphabet that contains non English characters you can use Locale...","You may create a separate classes to represent structure of your XML:

public class Section {
    @XmlAttribute
    public String name;
    @XmlElement(name = ""value"")
    public List<Value> values;
}

public class Value {
    @XmlAttribute
    public String name;
    @XmlValue
    public String value;
}
and then use an XmlAdapter to perform conversion:

public class OptionsAdapter extends XmlAdapter<Section, Options> {
    public Options unmarshal(Section s) {
        if (""default_options"".equals(s.name)) {
            ...
        } else if (...) {
            ...
        }
        ...
    }
    ...
}

@XmlElement
public class Configuration {
    @XmlElement(name = ""section"")
    @XmlJavaTypeAdapter(OptionsAdapter.class)
    public List<Options> options;
}

public class DefaultOptions extends Options { ... }
public class CustomOptions extends Options { ... }",
lang,Object,Inserting Java Object to MongoDB Collection Using Java,"<p>Classes that has a natural sort order (a class Number  as an example) should implement the Comparable interface  whilst classes that has no natural sort order (a class Chair  as an example) should be provided with a Comparator (or an anonymous Comparator class).</p>
<p>Both of these interfaces allow for different behavior.
Comparable allows you to make the object act like you just described Strings (in fact  String implements Comparable).
The second  Comparator  allows you to do what you are asking to do.
If the objects in the ArrayList implement comparable  you can instead do something like this:</p>
<p>The <a href= http://java.sun.com/javase/6/docs/api/java/util/Collections.html  rel= noreferrer >Collections</a> class contains a number of these useful  common tools.</p>
<p>With Java 8 you can use a method reference for your comparator:</p>
<p>Since technologies appear everyday  the answer will change in the time.
<p>Of course  having this kind of beauty impacts in the performance (an average of 2 times)  but can you find a more readable code?</p>
Fortunately  the actual code is much simpler and shorter than this description.</p>
<p>If you want to sort for alphabet that contains non English characters you can use Locale...","You can convert your java object into json string using the gson library and then insert it in mongodb.

Eg:

Gson gson = new Gson();
String json = gson.toJson(Employee);    
BasicDBObject basicDBObject = new BasicDBObject(""Name"", json );          
DBCollection dbCollection = db.getCollection(""NameColl"");          
dbCollection.save(basicDBObject);    ",
lang,Object,Java - getting max value from an arraylist of Objects?,"<p>Classes that has a natural sort order (a class Number  as an example) should implement the Comparable interface  whilst classes that has no natural sort order (a class Chair  as an example) should be provided with a Comparator (or an anonymous Comparator class).</p>
<p>Both of these interfaces allow for different behavior.
Comparable allows you to make the object act like you just described Strings (in fact  String implements Comparable).
The second  Comparator  allows you to do what you are asking to do.
If the objects in the ArrayList implement comparable  you can instead do something like this:</p>
<p>The <a href= http://java.sun.com/javase/6/docs/api/java/util/Collections.html  rel= noreferrer >Collections</a> class contains a number of these useful  common tools.</p>
<p>With Java 8 you can use a method reference for your comparator:</p>
<p>Since technologies appear everyday  the answer will change in the time.
<p>Of course  having this kind of beauty impacts in the performance (an average of 2 times)  but can you find a more readable code?</p>
Fortunately  the actual code is much simpler and shorter than this description.</p>
<p>If you want to sort for alphabet that contains non English characters you can use Locale...","You can use Java 8 Streams :

ArrayList<ArrayList<String>> allChains = new ArrayList<>();
allChains.add (new ArrayList<String>(Arrays.asList (""apple"", ""b"", ""c"")));
allChains.add (new ArrayList<String>(Arrays.asList (""a"")));
allChains.add (new ArrayList<String>(Arrays.asList (""a"",""b"",""c"",""d"")));

ArrayList<String> longest = allChains.stream()
                                     .max(Comparator.comparingInt(ArrayList::size))
                                     .get();

System.out.println (longest);
Output:

[a, b, c, d]",
lang,String,Finding Largest String in ArrayList,"Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>
Apache Commons</a> <code><a href= https://commons.apache.org/proper/commons-io/javadocs/api-release/org/apache/commons/io/IOUtils.html  rel= noreferrer >IOUtils</a></code> to copy the <code>InputStream</code> into a <code>StringWriter</code>...
http://download.oracle.com/javase/8/docs/api/java/util/Scanner.html  rel= noreferrer >Scanner</a> iterates over tokens in the stream  and in this case we separate tokens using  beginning of the input boundary  (\A)  thus giving us only one token for the entire contents of the stream.</p>
The trick here is that we work in blocks  and as such don t need other buffering streams.
The block size is parameterized for run-time performance optimization.</p>
<p>Then just add those numbers to the integer representation of the character <code>`</code>
<p>When <code>java.util.Random</code> is instantiated with a specific seed parameter (in this case <code>-229985452</code> or <code>-147909649</code>)  it follows the random number generation algorithm <em>beginning</em>
<p>Everyone here did a great job of explaining how the code works and showing how you can construct your own examples  but here s an information theoretical answer showing why we can reasonably expect a solution to exist that the brute force search will eventually find.</p> <p>
To allow generating words of different lengths  we further add a terminator symbol <code>⊥</code> to yield an extended alphabet <code>Σ  := Σ ∪ {⊥}</code>.</p> <p>Let <code>α</code> be a symbol and X a uniformly distributed random variable over <code>Σ </code>.
Since the Pseudorandom Number Generator (PRNG) is initialized with a 32-bit seed  we can expect most words of length up to</p> <blockquote> <p>λ = floor[32/log₂(27)] - 1 = 5</p> </blockquote> <p>to be generated by at least one seed.
Even if we were to search for a 6-character word  we would still be successful about 41.06% of the time.
<p>Most random number generators are  in fact   pseudo random. 
<p>LCGs are quite predictable given a fixed seed.
Basically  use a seed that gives you your first letter  then write an app that continues to generate the next int (char) until you hit the next letter in your target string and write down how many times you had to invoke the LCG.
<p>As multi-threading is very easy with Java  here is a variant that searches for a seed using all cores available: <a href= http://ideone.com/ROhmTA  rel= noreferrer >http://ideone.com/ROhmTA</a></p>
<p>To get different sequences  it s necessary initialize the sequence in some position  called  seed .</p>
<p>The randomSting get the random number in the i position (seed = -229985452) of the  random  sequence.
<p>The principal is the Random Class constructed with the same seed will generate the same pattern of numbers every time.</p>","Please try these code . Here i am trying with get() to access the ArrayList elements, which is working correctly.

import java.util.Scanner;                  
import java.util.ArrayList;

class ArraylistString
{
    public static void main(String args[])
    {
        ArrayList<String> Str = new ArrayList<String>();
        Str.add(""Jim Bob"");
        Str.add(""Bobby Jones"");
        Str.add(""Rob Stiles"");
        int largestString = Str.get(0).length();
        int index = 0;

        for(int i = 0; i < Str.size(); i++)
        {
            if(Str.get(i).length() > largestString)
            {
                largestString = Str.get(i).length();
                                index = i;
            }
        }
        System.out.println(""Index "" + index + "" ""+ Str.get(index) + "" "" + ""is the largest and is size "" + largestString);  

    }

}",
lang,String,Strings written to file do not preserve line breaks,"Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>
Apache Commons</a> <code><a href= https://commons.apache.org/proper/commons-io/javadocs/api-release/org/apache/commons/io/IOUtils.html  rel= noreferrer >IOUtils</a></code> to copy the <code>InputStream</code> into a <code>StringWriter</code>...
http://download.oracle.com/javase/8/docs/api/java/util/Scanner.html  rel= noreferrer >Scanner</a> iterates over tokens in the stream  and in this case we separate tokens using  beginning of the input boundary  (\A)  thus giving us only one token for the entire contents of the stream.</p>
The trick here is that we work in blocks  and as such don t need other buffering streams.
The block size is parameterized for run-time performance optimization.</p>
<p>Then just add those numbers to the integer representation of the character <code>`</code>
<p>When <code>java.util.Random</code> is instantiated with a specific seed parameter (in this case <code>-229985452</code> or <code>-147909649</code>)  it follows the random number generation algorithm <em>beginning</em>
<p>Everyone here did a great job of explaining how the code works and showing how you can construct your own examples  but here s an information theoretical answer showing why we can reasonably expect a solution to exist that the brute force search will eventually find.</p> <p>
To allow generating words of different lengths  we further add a terminator symbol <code>⊥</code> to yield an extended alphabet <code>Σ  := Σ ∪ {⊥}</code>.</p> <p>Let <code>α</code> be a symbol and X a uniformly distributed random variable over <code>Σ </code>.
Since the Pseudorandom Number Generator (PRNG) is initialized with a 32-bit seed  we can expect most words of length up to</p> <blockquote> <p>λ = floor[32/log₂(27)] - 1 = 5</p> </blockquote> <p>to be generated by at least one seed.
Even if we were to search for a 6-character word  we would still be successful about 41.06% of the time.
<p>Most random number generators are  in fact   pseudo random. 
<p>LCGs are quite predictable given a fixed seed.
Basically  use a seed that gives you your first letter  then write an app that continues to generate the next int (char) until you hit the next letter in your target string and write down how many times you had to invoke the LCG.
<p>As multi-threading is very easy with Java  here is a variant that searches for a seed using all cores available: <a href= http://ideone.com/ROhmTA  rel= noreferrer >http://ideone.com/ROhmTA</a></p>
<p>To get different sequences  it s necessary initialize the sequence in some position  called  seed .</p>
<p>The randomSting get the random number in the i position (seed = -229985452) of the  random  sequence.
<p>The principal is the Random Class constructed with the same seed will generate the same pattern of numbers every time.</p>","When you use readline() the line breaks are removed. You have to re-insert them with

sb = sb.append(line).append(""\n"");",
lang,String,Converting an int to a binary string representation in Java?,"Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>
Apache Commons</a> <code><a href= https://commons.apache.org/proper/commons-io/javadocs/api-release/org/apache/commons/io/IOUtils.html  rel= noreferrer >IOUtils</a></code> to copy the <code>InputStream</code> into a <code>StringWriter</code>...
http://download.oracle.com/javase/8/docs/api/java/util/Scanner.html  rel= noreferrer >Scanner</a> iterates over tokens in the stream  and in this case we separate tokens using  beginning of the input boundary  (\A)  thus giving us only one token for the entire contents of the stream.</p>
The trick here is that we work in blocks  and as such don t need other buffering streams.
The block size is parameterized for run-time performance optimization.</p>
<p>Then just add those numbers to the integer representation of the character <code>`</code>
<p>When <code>java.util.Random</code> is instantiated with a specific seed parameter (in this case <code>-229985452</code> or <code>-147909649</code>)  it follows the random number generation algorithm <em>beginning</em>
<p>Everyone here did a great job of explaining how the code works and showing how you can construct your own examples  but here s an information theoretical answer showing why we can reasonably expect a solution to exist that the brute force search will eventually find.</p> <p>
To allow generating words of different lengths  we further add a terminator symbol <code>⊥</code> to yield an extended alphabet <code>Σ  := Σ ∪ {⊥}</code>.</p> <p>Let <code>α</code> be a symbol and X a uniformly distributed random variable over <code>Σ </code>.
Since the Pseudorandom Number Generator (PRNG) is initialized with a 32-bit seed  we can expect most words of length up to</p> <blockquote> <p>λ = floor[32/log₂(27)] - 1 = 5</p> </blockquote> <p>to be generated by at least one seed.
Even if we were to search for a 6-character word  we would still be successful about 41.06% of the time.
<p>Most random number generators are  in fact   pseudo random. 
<p>LCGs are quite predictable given a fixed seed.
Basically  use a seed that gives you your first letter  then write an app that continues to generate the next int (char) until you hit the next letter in your target string and write down how many times you had to invoke the LCG.
<p>As multi-threading is very easy with Java  here is a variant that searches for a seed using all cores available: <a href= http://ideone.com/ROhmTA  rel= noreferrer >http://ideone.com/ROhmTA</a></p>
<p>To get different sequences  it s necessary initialize the sequence in some position  called  seed .</p>
<p>The randomSting get the random number in the i position (seed = -229985452) of the  random  sequence.
<p>The principal is the Random Class constructed with the same seed will generate the same pattern of numbers every time.</p>","Convert Integer to Binary:

import java.util.Scanner;

public class IntegerToBinary {

    public static void main(String[] args) {

        Scanner input = new Scanner( System.in );

        System.out.println(""Enter Integer: "");
        String integerString =input.nextLine();

        System.out.println(""Binary Number: ""+Integer.toBinaryString(Integer.parseInt(integerString)));
    }

}
Output:

Enter Integer:

10

Binary Number: 1010",
lang,String,How to convert binary string value to decimal,"Ways to convert an InputStream to a String:</strong></p> <ol> <li><p>Using <code>IOUtils.toString</code> (Apache Utils)</p> <pre><code>
Apache Commons</a> <code><a href= https://commons.apache.org/proper/commons-io/javadocs/api-release/org/apache/commons/io/IOUtils.html  rel= noreferrer >IOUtils</a></code> to copy the <code>InputStream</code> into a <code>StringWriter</code>...
http://download.oracle.com/javase/8/docs/api/java/util/Scanner.html  rel= noreferrer >Scanner</a> iterates over tokens in the stream  and in this case we separate tokens using  beginning of the input boundary  (\A)  thus giving us only one token for the entire contents of the stream.</p>
The trick here is that we work in blocks  and as such don t need other buffering streams.
The block size is parameterized for run-time performance optimization.</p>
<p>Then just add those numbers to the integer representation of the character <code>`</code>
<p>When <code>java.util.Random</code> is instantiated with a specific seed parameter (in this case <code>-229985452</code> or <code>-147909649</code>)  it follows the random number generation algorithm <em>beginning</em>
<p>Everyone here did a great job of explaining how the code works and showing how you can construct your own examples  but here s an information theoretical answer showing why we can reasonably expect a solution to exist that the brute force search will eventually find.</p> <p>
To allow generating words of different lengths  we further add a terminator symbol <code>⊥</code> to yield an extended alphabet <code>Σ  := Σ ∪ {⊥}</code>.</p> <p>Let <code>α</code> be a symbol and X a uniformly distributed random variable over <code>Σ </code>.
Since the Pseudorandom Number Generator (PRNG) is initialized with a 32-bit seed  we can expect most words of length up to</p> <blockquote> <p>λ = floor[32/log₂(27)] - 1 = 5</p> </blockquote> <p>to be generated by at least one seed.
Even if we were to search for a 6-character word  we would still be successful about 41.06% of the time.
<p>Most random number generators are  in fact   pseudo random. 
<p>LCGs are quite predictable given a fixed seed.
Basically  use a seed that gives you your first letter  then write an app that continues to generate the next int (char) until you hit the next letter in your target string and write down how many times you had to invoke the LCG.
<p>As multi-threading is very easy with Java  here is a variant that searches for a seed using all cores available: <a href= http://ideone.com/ROhmTA  rel= noreferrer >http://ideone.com/ROhmTA</a></p>
<p>To get different sequences  it s necessary initialize the sequence in some position  called  seed .</p>
<p>The randomSting get the random number in the i position (seed = -229985452) of the  random  sequence.
<p>The principal is the Random Class constructed with the same seed will generate the same pattern of numbers every time.</p>","Use Integer.parseInt (see javadoc), that converts your String to int using base two:

int decimalValue = Integer.parseInt(c, 2);",
