Issue Number,Issue Name,Date Opened,Issue Author,Date Closed,Closed By
60419,tf.raw_ops.GatherV2 api doc page does not properly describe the argument 'batch_dims' </bdi,26-Apr-23,meghendra,Not closed,Not closed
60285,linked page is not valid!</bdi,10-Apr-23,jntdst,Not closed,Not closed
60229,"Problem on installation document, wrong $LD_LIBRARY_PATH</bdi",04-Apr-23,KiWeng,Not closed,Not closed
60183,Please update/fix the tutorial of how to automatically add cuda/dnn path into environment when activate conda environment</bdi,31-Mar-23,TomMeowMeow,Not closed,Not closed
60137,Issue in TF Docs and it's tools with dataclasses module in Python 3.6 and earlier</bdi,28-Mar-23,eslam69,Not closed,Not closed
60114,LSTMBlockCell validation error</bdi,25-Mar-23,zsoltszakaly,Not closed,Not closed
60093,tf.raw_ops.Round doesn't have a gradient</bdi,23-Mar-23,trickiwoo,Not closed,Not closed
60080,Tensorflow version is 2.11.1 in v2.12.0 tag</bdi,23-Mar-23,npanpaliya,Not closed,Not closed
59959,Tensorflow lite for microcontrollers documentation has broken links to .cc files</bdi,11-Mar-23,acridland,Not closed,Not closed
59900,Outdated example</bdi,05-Mar-23,TheHellTower,Not closed,Not closed
59701,Video CNN Tutorial</bdi,15-Feb-23,chewman19,Not closed,Not closed
59577,"tf.keras.callbacks.ModelCheckpoint: initial_value_threshold not working, definition with a mistake</bdi",06-Feb-23,agoeroeg,Not closed,Not closed
59245,Problem with loading example dataset</bdi,12-Jan-23,rexys777,Not closed,Not closed
59181,[Documentation] <code>raw_ops.RealDiv</code>: Input Tensors cannot be of integer dtype</bdi,09-Jan-23,hmahmood24,Not closed,Not closed
59156,[Documentation] raw_ops.Conv3D: strides cannot be a list of ints that has length &gt;= 5</bdi,07-Jan-23,hmahmood24,Not closed,Not closed
58971,XLA Collapse Documentation: Example Incorrect</bdi,21-Dec-22,chrisby,Not closed,Not closed
58933,Bad download link for Windows GPU only binaries zip file</bdi,18-Dec-22,krsummersBA,Not closed,Not closed
58901,C API installation instructions don't work for MacOS</bdi,15-Dec-22,SJaffa,Not closed,Not closed
58699,Question about tf.image.convert_image_dtype parameter type?</bdi,27-Nov-22,triumph-wangyuyang,Not closed,Not closed
58695,The information thrown by the tf.clip_by_norm operator in different TensorFlow versions does not match the description in the documentation.</bdi,26-Nov-22,triumph-wangyuyang,Not closed,Not closed
58693,tf.math.add runs successfully Documentation Unsupported type: uint16</bdi,26-Nov-22,triumph-wangyuyang,Not closed,Not closed
58621,Invalid argument in example</bdi,20-Nov-22,svobora,Not closed,Not closed
58556,Ubuntu 20.04 based Tensorflow images don't include Python 3.9 as indicated in the dockerhub docs</bdi,14-Nov-22,TaylorZowtuk,Not closed,Not closed
58404,typo in https://www.tensorflow.org/datasets/catalog/big_patent </bdi,01-Nov-22,21564669,Not closed,Not closed
58397,https://www.tensorflow.org/api_docs/python/tf/keras/losses/BinaryFocalCrossentropy contains some information of https://www.tensorflow.org/api_docs/python/tf/keras/losses/BinaryCrossentropy</bdi,01-Nov-22,21564669,Not closed,Not closed
58383,"Misspelling of the word argument""</bdi""",31-Oct-22,Germantas-IILTD,Not closed,Not closed
58341,Versioning scheme of CVE patches</bdi,27-Oct-22,slashleo,Not closed,Not closed
58019,tf.raw_ops.TruncateDiv documentation is not consistent</bdi,07-Oct-22,KareemMAX,Not closed,Not closed
57978,Undocumented explicit padding exceptions in tf.nn.max_pool and tf.nn.max_pool2d</bdi,05-Oct-22,Ingkarat,Not closed,Not closed
57965,tf.nn.gelu raises an exception when 'features'.dtype is not a floating point tensor</bdi,04-Oct-22,Ingkarat,Not closed,Not closed
57964,tf.nn.ctc_loss documentation does not mention that 'blank_index' must be provided when 'labels' is a SparseTensor</bdi,04-Oct-22,Ingkarat,Not closed,Not closed
57926,Markdown Failure for TF Dialect Documentation</bdi,30-Sep-22,Jerry-Ge,Not closed,Not closed
57922,Don't show correct formula </bdi,30-Sep-22,jntdst,Not closed,Not closed
57921,Template code does not work</bdi,30-Sep-22,jntdst,Not closed,Not closed
57587,"Unncessary semicolons in tutorials terminate statements, possible documentation improvement</bdi",01-Sep-22,brechtse,Not closed,Not closed
57536,Indentation bug in TensorFlow main expert tutorial</bdi,30-Aug-22,doughywilson,Not closed,Not closed
57525,tf.clip_by_norm documentation wrong</bdi,30-Aug-22,cheyennee,Not closed,Not closed
57465,docs are incorrect for tf.raw_ops.Atan</bdi,26-Aug-22,mattbarrett98,Not closed,Not closed
57208,TF Lite API Reference on Internet Page does not match Code for interpreter_options.h</bdi,18-Aug-22,PfeifferJosef-96,Not closed,Not closed
57196,Is the estimate of how big TFLite is on ARM incorrect for iOS?</bdi,17-Aug-22,drubinstein,Not closed,Not closed
57192,Integer dtype not supported for tensorflow.math.tan</bdi,17-Aug-22,RickSanchezStoic,Not closed,Not closed
57165,tf.keras.layers.Dense documentation wrong</bdi,16-Aug-22,cheyennee,Not closed,Not closed
57159,The type of parameter 'prefix' in tf.keras.backend.get_uid documentation wrong</bdi,15-Aug-22,cheyennee,Not closed,Not closed
57153,The type of parameter 'device_type' in tf.config.list_logical_devices wrong</bdi,15-Aug-22,cheyennee,Not closed,Not closed
57150,update documentation of tf.abs</bdi,15-Aug-22,cheyennee,Not closed,Not closed
57072,Docker Hub ubuntu version documentation error</bdi,09-Aug-22,zplizzi,Not closed,Not closed
57039,"Please update the Simplified Chinese documents, or at least set an indicator to tell readers the documents are out of date</bdi",08-Aug-22,code4lala,Not closed,Not closed
56945,Broken link to model mitigation guide for variable_scope (python)</bdi,29-Jul-22,afdreher,Not closed,Not closed
56884,"message convert_variables_to_constants is deprecated""</bdi""",25-Jul-22,njzjz,Not closed,Not closed
56618,A small typo in <code>graph_properties.cc</code></bdi,29-Jun-22,AmosChenYQ,Not closed,Not closed
56553,"CSV generated by the code in the Human Pose Classification with MoveNet and TensorFlow Lite"" example inconsistent</bdi""",23-Jun-22,rjfc,Not closed,Not closed
56462,ktonthat - tech writer testing this template</bdi,14-Jun-22,ktonthat,Not closed,Not closed
56333,<code>tf.image.resize_with_pad</code> raises <code>InvalidArgumentError</code> but the behavior is not documented</bdi,02-Jun-22,kyamagu,Not closed,Not closed
56330,Unix wheel URLs are incorrect in TF2.9</bdi,02-Jun-22,chunduriv,Not closed,Not closed
56292,Error in Ragged Tensor Documentation</bdi,28-May-22,aflah02,Not closed,Not closed
56272,TensorArray documentation is misleading</bdi,26-May-22,Rocketknight1,Not closed,Not closed
56226,Cholesky decomposition half precision either does not work or wrong documentation.</bdi,23-May-22,andsmi97,Not closed,Not closed
56215,Document Dataset.repeat(0)</bdi,23-May-22,jamesbraza,Not closed,Not closed
56112,No module named model.recommendation_model_launcher_keras</bdi,15-May-22,muja555,Not closed,Not closed
56099,Fonts do not load properly under Firefox</bdi,13-May-22,zurgeg,Not closed,Not closed
56078,Unit test //tensorflow/tools/docs:tf_doctest is broken by protobuf exception</bdi,12-May-22,elfringham,Not closed,Not closed
55723,Missing <code>f</code> prefix on f-strings</bdi,23-Apr-22,code-review-doctor,Not closed,Not closed
55510,TypeError: __call__() missing 1 required positional argument: 'step'</bdi,06-Apr-22,JiaqingFu,Not closed,Not closed
55372,Wrong definition of arg fixed_length in api_docs/python/tf/raw_ops/DecodePaddedRaw</bdi,25-Mar-22,shijy16,Not closed,Not closed
55290,"tf.nn.ctc_loss documentation misleads about GPU support, leading to 50x performance difference</bdi",18-Mar-22,psobot,Not closed,Not closed
55276,"Event file summary metric type changed, breaking the example in summary_iterator.py</bdi",17-Mar-22,timatim,Not closed,Not closed
55035,The documentation of tf.sparse.softmax has inexecutable example code</bdi,05-Mar-22,ArrowIntoTheSky,Not closed,Not closed
54991,TensorFlow API Versions Hyperlink for 2.7 points to 2.8</bdi,04-Mar-22,KilnOfTheSecondFlame,Not closed,Not closed
54660,Please remove invalid hyperlinks.</bdi,27-Feb-22,praksharma,Not closed,Not closed
53828,Descriptions of <code>tf.RaggedTensor</code>'s methods '__xx__' are unclear</bdi,20-Jan-22,ArrowIntoTheSky,Not closed,Not closed
53783,<code>tf.scatter_nd</code> document refers to deprecated apis</bdi,15-Jan-22,ArrowIntoTheSky,Not closed,Not closed
53506,Specify what is ag__ in the output of tf.autograph.to_code</bdi,21-Dec-21,ricvo,Not closed,Not closed
53499,Doc Improvement</bdi,21-Dec-21,kaimo455,Not closed,Not closed
53453,Description error of 'non_max_suppression_with_scores'</bdi,16-Dec-21,ChaojifeixiaDazhuang,Not closed,Not closed
53157,Outdated documentation for <code>DataFormatVecPermute</code></bdi,22-Nov-21,Nyrio,Not closed,Not closed
53112,"Misleading behavior on matrix and vector division, which is in contradiction with the documentation in nn.softmax</bdi",18-Nov-21,T-Almeida,Not closed,Not closed
53107,Details about tf.keras.layers.Conv2DTranspose params 'padding' and 'output_padding'</bdi,18-Nov-21,Gandalf401,Not closed,Not closed
52640,Typo in the model.compile code examples: tf.keras.optimizers not tf.keras.optimizer</bdi,24-Oct-21,rand42studios,Not closed,Not closed
52623,missing Link to nightly version of BinaryCrossentropy</bdi,22-Oct-21,jvishnuvardhan,Not closed,Not closed
52520,Document whether the GPU execution of concrete functions are asynchronous</bdi,15-Oct-21,tfeher,Not closed,Not closed
52348,Documentation problem for gradient clipping parameter</bdi,12-Oct-21,isaacgerg,Not closed,Not closed
52336,Unspecified data type in image_dataset_from_directory</bdi,11-Oct-21,AngCamp,Not closed,Not closed
52321,Tutorial link is missing</bdi,11-Oct-21,MaoXianXin,Not closed,Not closed
52253,Incorrect Links under API Reference </bdi,05-Oct-21,robotjellyzone,Not closed,Not closed
51726,Several links to the github code are broken in https://www.tensorflow.org/</bdi,28-Aug-21,NEGU93,Not closed,Not closed
51437,AUC in the Classification on imbalanced data tutorial </bdi,11-Aug-21,yoheimiyamoto,Not closed,Not closed
51097,Parameter description generating weirdly in <code>tf.keras.metrics.AUC</code></bdi,02-Aug-21,eigenvivek,Not closed,Not closed
51038,"Autograph set_verbosity doc example shows using integer values for env vars, but only strings can be used</bdi",29-Jul-21,Avelina9X,Not closed,Not closed
50973,Documentation: old installation requirements</bdi,27-Jul-21,ternite,Not closed,Not closed
50958,Code not visible in dark theme in the Tensorflow documentation</bdi,26-Jul-21,Mohitkumar6122,Not closed,Not closed
50737,tfa.activations.snake - wrong function in docs</bdi,12-Jul-21,SianoP,Not closed,Not closed
50536,Grammatical Mistakes in the documentation of tf.keras.Model.load_weights</bdi,30-Jun-21,worldpeaceaspirer,Not closed,Not closed
50510,The Phi definition of GELU is incorrect</bdi,29-Jun-21,RATATATO,Not closed,Not closed
50473,[API docs] <code>tf.keras.Sequential.predict_classes</code> is deprecated</bdi,26-Jun-21,8bitmp3,Not closed,Not closed
50452,api_docs tensor incoherent sentence</bdi,25-Jun-21,Jahnvi13,Not closed,Not closed
50258,URL of tf.raw_ops.SparseReduceSum comprises Irrelevant/Garbage Values</bdi,14-Jun-21,worldpeaceaspirer,Not closed,Not closed
49933,DepthwiseConv2D documentation: a different filter per channel vs the same filter per channel</bdi,31-May-21,vinhill,Not closed,Not closed
49900,No consideration of Activation Functions in the implementation of Initializers</bdi,30-May-21,worldpeaceaspirer,Not closed,Not closed
49894,List of Initializers are specified twice in the Classes Section of documentation</bdi,29-May-21,worldpeaceaspirer,Not closed,Not closed
49890,Documentation for Model.trainable_weights is missing</bdi,29-May-21,worldpeaceaspirer,Not closed,Not closed
49829,image_dataset_from_directory returns dtype 'uint8' Dataset if interpolation='nearest'</bdi,27-May-21,buoi,Not closed,Not closed
49738,No description about forcing zero output for mask in Bidirectional</bdi,26-May-21,cosmoquester,Not closed,Not closed
49602,Update variable name within Anomaly Detection example</bdi,25-May-21,cl3m3nt,Not closed,Not closed
49473,Incorrect requirements.txt in Magic Wand Example</bdi,21-May-21,laurenmurphyx64,Not closed,Not closed
49379,Distinction between categorical_crossentropy and sparse_categorical_crossentropy is not clear in the documentation</bdi,20-May-21,worldpeaceaspirer,Not closed,Not closed
49295,tensorflow 2.5.0 cuda and cudnn version</bdi,19-May-21,DachuanZhao,Not closed,Not closed
49252,SparseCategoricalAccuracy y_true and y_pred shape</bdi,18-May-21,ziruizhuang,Not closed,Not closed
49237,MultiHeadAttention padding mask example</bdi,17-May-21,dbouchabou,Not closed,Not closed
49101,<code>tf.keras.preprocessing.image.smart_resize</code> stable docs does not render properly</bdi,11-May-21,mattxwang,Not closed,Not closed
48796,"Example of tf.scatter_nd contains Session, which is obselete</bdi",28-Apr-21,worldpeaceaspirer,Not closed,Not closed
48731,dow</bdi,24-Apr-21,adarsh-dhakad,Not closed,Not closed
48473,Documentation for tf.tensor_scatter_nd_add mentions non existing method</bdi,12-Apr-21,scarlehoff,Not closed,Not closed
48458,Broken link at tf.keras.callbacks.TensorBoard in docs page</bdi,10-Apr-21,alphaX86,Not closed,Not closed
48298,Sample or example?</bdi,04-Apr-21,gqqnbig,Not closed,Not closed
48234,Broken syntax highlighting on docs that render python notebooks.</bdi,01-Apr-21,dansuh17,Not closed,Not closed
48174,https://www.tensorflow.org/api_docs/python/tf/keras/callbacks/TensorBoard contains broken links</bdi,30-Mar-21,atn832,Not closed,Not closed
48137,Output size same as input size only if strides = 1</bdi,28-Mar-21,hannnwang,Not closed,Not closed
48105,Incorrect ZeroPadding before MaxPool2D in keras' resnet</bdi,26-Mar-21,dlopr,Not closed,Not closed
47991,"Python 3.6.12-debug is not supported, but documentation says it is</bdi",22-Mar-21,Volker-Weissmann,Not closed,Not closed
47985,Invalid format in tf.math.log doc page</bdi,22-Mar-21,jeongukjae,Not closed,Not closed
47854,training_a_model.md problem</bdi,17-Mar-21,goldkwang,Not closed,Not closed
47780,Inconsistency in tf.keras.models.Model.fit() doc</bdi,13-Mar-21,francescoalongi,Not closed,Not closed
47759,Cuda version should be 11 instead of 10 in Install CUDA with apt(docs)</bdi,12-Mar-21,Arghya999,Not closed,Not closed
47662,Update aliasing in tf.linalg.band_part docs</bdi,09-Mar-21,jeongukjae,Not closed,Not closed
47642,Typo issue in tf.keras.losses docs</bdi,08-Mar-21,jeongukjae,Not closed,Not closed
47619,mobilenet_v3.preprocess_input does nothing!</bdi,07-Mar-21,jameshfisher,Not closed,Not closed
47608,BatchNorm: Documentation: Problem in Inference Equation (and also training)</bdi,06-Mar-21,MehdiMaboudi,Not closed,Not closed
47565,TensorBoard Embedding Projector Metadata filepath format not clear</bdi,04-Mar-21,suiluj,Not closed,Not closed
47537,tf.keras.backend.in_train_phase / tf.keras.backend.in_test_phase not documented</bdi,03-Mar-21,isaacgerg,Not closed,Not closed
47529,Estimator#export_saved_model section links to irrelevant guide or guide missing relevant section</bdi,03-Mar-21,C-Compton,Not closed,Not closed
47405,Login loop caused by unmet packages in gpu Ubuntu16.04 installation guide</bdi,25-Feb-21,GrigoriiTarasov,Not closed,Not closed
47286,The Example Code in tf.feature_column.numeric_column is not Executable/Complete/Self-Sufficient</bdi,20-Feb-21,worldpeaceaspirer,Not closed,Not closed
47062,tensorflow/cc/saved_model/README.md is broken</bdi,10-Feb-21,atn832,Not closed,Not closed
46998,Documentation mistake in tf.keras.layers.MaxPool2D python section</bdi,08-Feb-21,chinya07,Not closed,Not closed
46848,LinearRegression Example in ForwardAccumulator docstring has an error</bdi,02-Feb-21,nickhalmagyi,Not closed,Not closed
46819,problematic args description table of aixs in tf.nn.softmax</bdi,01-Feb-21,Yonma,Not closed,Not closed
46757,tf.linalg.triangular_solve adjoint option description is wrong</bdi,28-Jan-21,vicaws,Not closed,Not closed
46604,The Example Code in tf.feature_column.categorical_column_with_identity is not Executable/Complete/Self-Sufficient</bdi,22-Jan-21,worldpeaceaspirer,Not closed,Not closed
46568,typos</bdi,21-Jan-21,framsc,Not closed,Not closed
46522,BatchNormalization inference equation in doc is incorrect</bdi,19-Jan-21,brian36,Not closed,Not closed
46492,"documentation missing, tf.keras.Model.fit shuffle argument is being ignored when passing a tf.data.dataset</bdi",17-Jan-21,juanma9613,Not closed,Not closed
46211,Many errors in the Example of tf.feature_column.categorical_column_with_vocabulary_file</bdi,06-Jan-21,rakeshmothukuru1,Not closed,Not closed
46203,Many errors in the Example of tf.feature_column.categorical_column_with_identity</bdi,06-Jan-21,rakeshmothukuru1,Not closed,Not closed
46201,Many errors in the Example of tf.feature_column.categorical_column_with_hash_bucket</bdi,06-Jan-21,rakeshmothukuru1,Not closed,Not closed
46197,Error in example because of Incomplete API names for tf.keras.experimental.SequenceFeatures</bdi,06-Jan-21,rakeshmothukuru1,Not closed,Not closed
46128,"This throws ERROR: features = tf.io.parse_example(..., features=make_parse_example_spec(columns))</bdi",04-Jan-21,summa-code,Not closed,Not closed
45874,"TPU guide doesn't work, but used to - <code>Op type not registered 'DecodeImage' in binary</code></bdi",19-Dec-20,SamuelMarks,Not closed,Not closed
45860,TF2.4 doc missing keras.backend methods</bdi,18-Dec-20,wuhy08,Not closed,Not closed
45854,MultiHeadAttention masking mechanism</bdi,18-Dec-20,claverru,Not closed,Not closed
45778,[Doc bug] tf.sparse.concat doesn't have argument <code>expand_nonconcat_dim</code></bdi,17-Dec-20,DNXie,Not closed,Not closed
45777,[Documentation bug] Format issue in document of <code>tf.raw_ops.For</code></bdi,17-Dec-20,DNXie,Not closed,Not closed
45731,ambiguity risk of crop_size</bdi,16-Dec-20,qazsweet,Not closed,Not closed
45243,tf.keras.applications.mobilenet_v3.preprocess_input documentation not according source code </bdi,28-Nov-20,SalvaPedraza,Not closed,Not closed
45239,tf.image.extract_patches argument description</bdi,28-Nov-20,Crispy13,Not closed,Not closed
45203,tf.linalg.diag_part does not use matrix_diag_part_v2</bdi,26-Nov-20,Lescurel,Not closed,Not closed
45007,Mistakes in the documentation of UniqueWithCountsV2 API</bdi,19-Nov-20,rakeshmothukuru1,Not closed,Not closed
44987,"Necessity of strategy.run"" and ""distribute_datasets_from_function"" for ParameterServers</bdi""",18-Nov-20,MaxiBoether,Not closed,Not closed
44910,[Question] Adding More Outputs in tflite Interpreter.get_output_details()</bdi,16-Nov-20,Rocksus,Not closed,Not closed
44829,Incorrect File Formats mentioned and Raises Section is missing in ImageDataGenerator Documentation</bdi,13-Nov-20,rakeshmothukuru1,Not closed,Not closed
44765,ImportError: cannot import name 'np_utils' in ImageDataGenerator</bdi,11-Nov-20,rakeshmothukuru1,Not closed,Not closed
44686,Typo in tf.keras.callbacks.EarlyStopping example</bdi,08-Nov-20,jvishnuvardhan,Not closed,Not closed
44685,Arguments have an HTML format issue</bdi,08-Nov-20,houseofai,Not closed,Not closed
44587,Behaviour of ImageDataGenerator with subset='validation'</bdi,04-Nov-20,danipozo,Not closed,Not closed
44516,keras preprocessing data_utils.py not working for non-'inferred' labels</bdi,02-Nov-20,mabhags,Not closed,Not closed
44482,tf.logging documentation leads to 404</bdi,31-Oct-20,jpodivin,Not closed,Not closed
44005,ValueError: The same saveable will be restored with two names: layer_with_weights-1/_table/.ATTRIBUTES/table</bdi,14-Oct-20,DachuanZhao,Not closed,Not closed
43998,Update BatchNormalization documentation</bdi,14-Oct-20,vermouth1992,Not closed,Not closed
43760,creating segmentation</bdi,03-Oct-20,charanhu,Not closed,Not closed
43752,Documentation example for tf.keras.utils.Sequence is incorrect;  'fencepost' error in example code</bdi,03-Oct-20,drmatthewclark,Not closed,Not closed
43455,"A commit message should be unit64""</bdi""",22-Sep-20,idiomaticrefactoring,Not closed,Not closed
43224,keras layers API documentation not sorted properly</bdi,14-Sep-20,PaulPauls,Not closed,Not closed
43029,TensorFlow2 tutorials Actor-Critic method</bdi,07-Sep-20,hyiche,Not closed,Not closed
42513,Discrepancy between available operation semantics documentation and documentation of <code>tf2xla.python.xla.conv</code></bdi,20-Aug-20,bchetioui,Not closed,Not closed
42458,CosineSimilarity documentation range incorrect</bdi,18-Aug-20,danielplatt,Not closed,Not closed
42435,Keras <code>Layer.call</code> args signature inconsistent with actual code</bdi,17-Aug-20,wchargin,Not closed,Not closed
42420,Error in Validation split percentage - Image Classification tutorial</bdi,17-Aug-20,roca77,Not closed,Not closed
42242,tf.convert_to_tensor and tf.constant ignoring tf.device</bdi,11-Aug-20,jacksonloper,Not closed,Not closed
42151,tf.nn.ctc_beam_search_decoder expects output of softmax whereas documentation says it expects logits</bdi,08-Aug-20,lriuui0x0,Not closed,Not closed
42140,blank_index in tf.nn.ctc_loss and tf.nn.ctc_beam_search_decoder has different default value</bdi,07-Aug-20,lriuui0x0,Not closed,Not closed
42045,"TF website tutorial Save and load"" fails on Google Colab for entire models</bdi""",04-Aug-20,jasonlilley,Not closed,Not closed
41712,"Conv1DTranspose Dilation support - Might be a bug, IDK.</bdi",24-Jul-20,EnderWiggin14,Not closed,Not closed
41656,The first paragraph of the documentation for tf.linalg.inv is cut in half</bdi,23-Jul-20,lovasoa,Not closed,Not closed
41496,RGB to YUV: Conflicting information between example and description</bdi,17-Jul-20,huangeddie,Not closed,Not closed
41470,"Model Maker Outputing Single File, no labels.txt</bdi",16-Jul-20,vdaita,Not closed,Not closed
41420,Docs: incomplete description of callbacks.ModelCheckpoint's save_best_only parameter</bdi,15-Jul-20,bersbersbers,Not closed,Not closed
41413,Threshold to be set 0 when using binary accuracy with raw prediction values (from_logits=True)</bdi,15-Jul-20,HaraBeron,Not closed,Not closed
41270,"GPU delegate library is libtensorflowlite_gpu_delegate.so, not libtensorflowlite_gpu_gl.so.</bdi",10-Jul-20,y-ich,Not closed,Not closed
41115,Doc of rmsprop optimizer seems not consistent with the code</bdi,06-Jul-20,tzm1003306213,Not closed,Not closed
41005,"tf.where doc on Args x"" seems incorrect</bdi""",01-Jul-20,Chenni,Not closed,Not closed
40785,the link to stable version of this codelab is broken </bdi,25-Jun-20,navczydev,Not closed,Not closed
40725,Incorrect documentation for model_from_config </bdi,23-Jun-20,Trel725,Not closed,Not closed
40709,What exactly does <code>tf.signal.fft</code> compute?</bdi,23-Jun-20,sharvil,Not closed,Not closed
40708,looping over tf.range in tf.function is slower than looping over range</bdi,23-Jun-20,amitport,Not closed,Not closed
40692,Conv1DTranspose documentation inconsistent with code and unclear</bdi,22-Jun-20,EnderWiggin14,Not closed,Not closed
40595,tf.signal.rfft(2d/3d) documentation refers <code>Tcomplex</code> and <code>input</code> as arguments.</bdi,18-Jun-20,DNXie,Not closed,Not closed
40594,tf.signal.irfft(2d/3d) documentation refers <code>input</code> and <code>Treal</code> as arguments.</bdi,18-Jun-20,DNXie,Not closed,Not closed
40593,Unclear rank/dimension dependency of <code>weights</code> in  <code>sigmoid_cross_entropy</code> documentation</bdi,18-Jun-20,DNXie,Not closed,Not closed
40592,<code>tf.nn.swish</code> documentation refers <code>name</code> as an argument</bdi,18-Jun-20,DNXie,Not closed,Not closed
40415,AbstractRNNCell documentation</bdi,12-Jun-20,AlecBG,Not closed,Not closed
40104,<code>tf.compat.v1.setdiff1d</code> documentation refers <code>out_idx</code> as an argument</bdi,03-Jun-20,DNXie,Not closed,Not closed
